id,reference,hypothesis,wer_pct,cer_pct
17,dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi,"Dünən axşam Buenos Airesdən 50 km, 31 mil məsafədə yerləşən La Plata şəhərində hazır ki, senatır və argintinan birinci xanımı Kristina Fernandez de Kirchner prezidentliyə namizətliyini eylan etdi.",25.93,4.69
18,mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər,"Mövcud bütün resurslardan bir qurumun funksional departmətlərində effektiv bir şəkildə istifadə olunursa, yaradıcılıq və ustalıq ortaya çıxa bilər.",5.56,2.04
19,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,"Tələbələr bloglarda uyğun istifadə edənlər analitik və tənqidi bacarıqları möhkəmləndirə bilər, testis internet materiallarını müraciət edib başqalarının yazıları əsasində bir mövqə ortaya qoya, həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər.",27.27,9.49
20,afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir,Afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddət təşkil edir.,5.88,2.65
21,bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz,"Bura Britaniya Kalanislərinin mənimsədikləri yeridir. Buna görə də əgər bölgənin müstəmləki tarixi ilə alaqəli bildərilər axtarırsınızsa, buradan başlaya bilərsiniz.",30.0,6.83
22,abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,"ABUSUN GEOLOJİK HİTMƏTLƏR BÜROSUN ASTROLOGIYA HƏYƏTİNDƏN VƏ ARIZONA ŞİTATININ FLUXSTAX ŞƏHƏRİNDƏ YERLƏŞƏN ŞİMALİ ARIZONA UNVƏSTƏTİNDƏN OLAN GLEN KUSHINGIN DƏDƏYİNƏ GÖRƏB, ONLARIN TERMAL HƏRƏKƏTLƏRİ YER PLANETƏNDƏKİ KİFAYƏ QƏDƏR DAVAMLI TEMPERATURU TƏSSİZ DƏHİSƏKLƏYƏN BÖYÜK MAĞARALARDA OLANLAR QƏDƏR STABİL DEYIL, ANCAQ BU HƏMİN DƏRİN DƏLİKLƏRİN TORPAQDA OLMASI İLƏ ƏLAQƏLİDƏR.",43.48,10.93
23,əyləncəli xəbərlər veb-saytı tmz fotoqrafın öz avtomobilini sepulveda bulvarının digər tərəfində saxladığını yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür,"Eləncəli xəbərlər, web sayt TMZ fotografın öz avtomobilini Sapulveda bulvarının digər tərəfində saxladığı, yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını, nəticədə Kaliforniya dövlət yol patrul xidmətinin polis zabitinin onu geri qaytarmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür.",18.6,3.74
24,bu halda bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır,"Bu halda, bizə yalnız yeni bir ixtiradan sonra klaviyyaturanın nəyə yararlanacağını təqmin etmək qalır.",21.43,7.29
25,qərbi avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərindən biri də səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi,Qərbi Avropa həyat tərcini ortasillərin sonlarında təkmilləşdirməyə başladı. Dövrün ən böyük yeniliklərindən biri də səlip yürüşlərin nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi.,18.52,3.12
26,onun sonradan köçürüldüyü addenbruk xəstəxanası kembricdə idi,Onun sonradan köçürüldüyü Addenbrooke xəstəxanası Cambridgedə idi.,28.57,13.11
27,bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da digərlərində bu bir neçə dəqiqə çəkə bilər,"Bölgələrin bəzilərində suyu bir dəqiqə qaynatmaq yetərli olsa da, digərlərində bu bir neçə dəqiqə çəkə bilər.",6.25,2.86
28,15 avqust 1940-cı ildə müttəfiqlər cənubi fransanı işğal etdilər işğal planının adı draqun əməliyyatı idi,15 avqust 1940-cı ildə mütəfiqlər Cənubi Fransana işğal etdilər. İşğal planının adı Drağun əməliyyatı idi.,20.0,2.88
29,xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir,"Xüsusilə də yay aylarında sadə popülər bir axşam yeməyi, zeytun yağlı, pomidorlu və pendir və ton balığı kimi istənilən ərzakla doldurulmuş paamboli adlanan çörəkdir.",19.23,3.61
30,honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı kowloon sahilinə gedin,Hong Kongun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı Koblon sahilinə gedin.,23.08,5.49
31,romantizm göte fixte və şleqel kimi yazıçılardan alınmış böyük mədəni bir determinizm ünsürünə sahibdir,"Romantizm, götə, fixtə və şləqəl kimi yazıcıların alınmış böyük mədəni bir determinizmin ünsürünə sahibdir.",35.71,8.74
32,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,"Tələbələr bloglardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər, testis internet materiallarına müraciət edib, başqalarının yazıları əsasında bir mövqə ortaya qoya, hər cür xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər.",21.21,8.39
33,şiddətli küləklər dolu həddən artıq yağış və meşə yanğınları fırtına tufan su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır,"Şiddətli küləklər, dolu, həddən ataq yağış və meşə yağınları, fırtına, tufan, su buruqanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahürü formasıdır.",18.18,3.7
34,unesco dünya maddi i̇rs siyahısına daxil edilən və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırıldı,UNESCO Dünya Maddi İrsiyağısına daxil edilən və Hindistan ərazisində olan Sundarban Mişəliyi Sundarban Milli Parkı olaraq adlandırdı.,22.22,4.41
35,kasablanka bütün mərakeşdə alış-veriş etmək üçün ən cazib yerlərdən biridir,Kasa Balanka bütün mərakeşdə alış-veriş etmək üçün ən cazib yerlərdən biridir.,20.0,2.7
36,jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür deyə dandi universitetinin professoru pamela ferquson bildirib,"Jurnalistlər şübhəllərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən tərvükəli sularda üzür, deyə Dandi Universitetin professoru Pamela Ferguson bildirib.",21.05,3.45
37,məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi o düşünmək üçün nur dağındakı hira adlanan mağaraya çox sıx gələrdi,Məhəmməd dünyəvi məsələlərə aid olmayan mövzularda daha dərin maraq göstərirdi. O düşünmək üçün Nur dağındakı Hir adlanan mağaraya çox sıx gələrdi.,14.29,2.8
38,sundarban 1966-cı ildən bəri vəhşi təbiət qoruğudur ərazidə indi 400 benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir,Sundarban 1966-cı ildən bəri vəhşi təbiət qorxudur. Ərazidə indi 400 bengal pələnginin və təxminən 30 min xallı maralın olduğu hesab edilir.,14.29,4.35
39,honkonqun siluetini yaradan binaların düzülüşünü viktoria limanının suları ilə ortaya çıxan cazibədar parıltılı bir histoqram ilə müqayisə etmək olar,Hong Kongun silüetini yaradan binaların üzülüşünü Victoria Limanının suları ilə ortaya çıxan cazibələr baraltılı bir histogram ilə müqayisə etmək olar.,42.11,7.38
40,hər hansı bir məktəb ekskursiyasını virtual olaraq paylaşmaq bu ekskursiyanı əks etdirmək və gələcək dərslərdə təcrübələrimizi bölüşmək üçün əla yoldur,"Hər hansı bir məktəb ekskursiyasını virtual olaraq paylaşmaq, bu ekskursiyanı əksətdirmək və gələcək dərslərdə təcrüblərimizi bölüşmək üçün əla yoldur.",15.0,1.99
41,qrenlandiyada əhali seyrək yerləşib. norveç dastanlarında deyilir ki kürən erik adam öldürdüyü üçün i̇slandiyadan sürgün edilərkən qərbə doğru yol alır və burada qrenlandiyanı kəşf edərək onu belə adlandırır,"Qrenlandiyada əhali seyrək yerləşib. Norveç taslanlarında deyilir ki, kürən Erik adam öldürdüyü üçün İslandiyadan sürgün edilərkən qəribə doğru yol alır və burada Qrenlandiyanı kəşf edərək onu belə adlandırır.",7.14,1.46
42,anqel 2006 izah edir ki bütöv mühit yanaşmasından şirkətlərin işini daha yüksək səviyyəyə çatdırmasına kömək edəcək bir metod kimi istifadə olunur,"Angel 2006 izah edir ki, bütöv mühit yanaşmasından şirkətlərin işini daha yüksək səviyyə çatdırmasına kömək edəcək bir metod kimi istifadə olunur.",9.52,2.05
43,i̇talyan dili əyalətdə işləyənlərin əksəriyyəti tərəfindən gündəlik istifadə olunan dildir latın dili isə adətən dini mərasimlərdə istifadə olunur,İtalyan dili əyalətdə işləyənlərlə kisəriyyəti tərəfindən gündərik istifadə olunan dildir. Latın dili isə adətən dini mərasimlərdə istifadə olunur.,16.67,3.45
44,alimlər bu qənaətə gəldilər ki qaranlıq materiyanın digərinə təsiri adi materiyanın eyni formada göstərdiyi təsir kimidir,"Alimlər bu qənaətə gəldilər ki, qaranlıq materiyanın digərinə təsiri, adi materiyanın eyni formada göstərdiyi təsir kimidir.",0.0,0.0
45,yanğın 23:35-ə qədər yanğından mühafizə bölmələri tərəfindən söndürüldü,Yağın 23.35-ə qədər yağına mühafizə bölmələri tərəfindən söndürüldü.,25.0,5.8
46,pələngin nəriltisi şirin gur səslə çıxardığı nəriltiyə bənzəmir daha çox xırıltılı və cingiltili səslənən sözlər kimi eşidilir,"Pələngin nərildisi şirinkür səslə çıxardığı nərildiyə bənzəmir, daha çox xırıltılı və cingiltili səslənən sözlər kimi işləyir.",29.41,7.94
47,i̇nternet həm kütləvi həm də fərdlərarası kommunikasiya elementlərini özündə birləşdirir,"İnternet həm kütləvi, həm də fərdlər arası kommunikasiya elementlərini özündə birləşdirir.",20.0,1.15
48,daha əvvəllər iqtisadi baxımdan əlverişli və funksional olduğu üçün dünya miqyasında bazara çıxarılan asus eee kompüteri 2007-ci ilin taipei it ayının əsas mövzusu idi,Daha əvvəllər iqtisadi baxımdan əlverişli və funksional olduğu üçün dünya mediyasında bazara çıxarılan Asus E kompüterü 2007-ci ilin Taipei IT ayının əsas mövzusu idi.,12.5,3.61
49,"perri bu axşamkı partiya iclasının nəticələrini dəyərləndirmək və bu yarışda məni irəli aparan bir yol müəyyənləşdirmək üçün texasa qayıdacam"",- dedi lakin daha sonra o rəqabətə davam edəcəyini və 21 yanvarda cənubi karolina ön seçmələrində yarışacağını bildirdi","Perri bu axşamki parti izlasının nəticələrini dəyərləndirmək və bu yarışda məni yerələr paramı bir yol müəlləşdirmək üçün Texasa qaydacam dedi. Lakin daha sonra o, rəqabətə davam edəcəyini və bir 21 yanvarda Cənubi Karalina ön seçmələrində yaraşacağını bildirdi.",27.78,8.49
50,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,Bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır.,0.0,0.0
51,elektronlarından ayrılmış protonlar hidrogen ionları hesab olunur çünki hidrogen atomları bir proton və bir elektrondan ibarətdir,Elektronlarından ayrılmış protonlar hidrogen ionları hesab olunur. Çünki hidrogen atomları bir proton və bir elektrondan ibarətdir.,0.0,0.0
52,honkonq adası yerləşdiyi əraziyə də öz adını verib və bu ərazi turistlərin diqqətini cəlb edən əsas mərkəzdir,Hong Kong adası yerləşdiyi əraziyə dövz adını verib və bu ərazi turistlərin diqqətini cəlb edən əsas mərkəzdir.,23.53,5.5
53,o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı,"O, bütün bu şayələri siyasi boşboğazlıq və axmaqlıq adlandırdı.",11.11,1.61
54,oktyabr ayında başlayıb geniş yayılan anti-rejim etirazçılarına martelli komissiya ilə cavab verdi,"Oktyabr ayına başlayıb, geniş yəyələn anti-rejim etirazçılarını Marteli Komissiyası ilə cavab verdi.",41.67,8.25
55,kütlənin əksəriyyətinin avtomobilə sahib olması yollarda qəza hallarının artması ilə yanaşı həm də qəzada fiziki xəsarət alanları müalicə etmək üçün səhiyyə sahəsində yeni texnologiyaların ixtira edilməsinə səbəb olar,"Kütlənin əksəriyyətinin avtomobili sahib olması, yollarda qəzalıların artması ilə yanaşı, həm də qəzada fiziki xəsarət alanları müalicə etmək üçün səhiyyə sayəsində yeni texnologiyaların ixtira edilməsinə səbəb olar.",14.29,3.69
56,ayrılma və yenidən birləşmə hər nəsildən olan iki qrup arasında variasiyaları irəli-geri qarışdırır,Ayrılma və yeyindən birləşmə hər nəsildən olan iki qrup arasında variasiyaları irəli geri qarışdırır.,23.08,3.06
57,eyni qayda kişilərə də tətbiq olunur onlar dizlərini örtən şalvar geyinməlidirlər,Eyni qayda kişilərdə tətbiq olunur. Onlar dizlərini örtən şalvar geyinməlidirlər.,18.18,2.47
58,şəhər eyni zamanda afrikadakı dağ qorillasını müşahidə etməyin ən ucuz yollarından biri olan nyiragongo vulkanik dağına dırmanmaq üçün əsas yer hesab olunur,Şəhər eyni zamanda Afrikadakı dağ korillasını müşahidə etməyin ən ucuz yollarından biri olan Mieragongo vulkanik dağına dırmanmaq üçün əsas yerə hesab olunur.,13.64,3.21
59,i̇lahilik yoqası tibet meditasiyasının mərkəzində dayanır. enerji kanallarının təmizlənməsi və çakraların aktivləşdirilməsi üçün çeşidli səmavi varlıqların təsvirləri göstərilir və aydınlanma şüuru oyanır,İlahilik yogası Tibet meditasiyasının mərkəzində dayanır. Enerji kanalların dəmizlənməsi və çakraların aktivləşdirilməsi üçün çəşidli səmami varlıqların təsvirləri göstərilir və aydınlanma şüuru oyanır.,22.73,2.97
60,oktyabr ayında başlayıb geniş yayılan anti-rejim etirazçılarına martelli komissiya ilə cavab verdi,Oktiabr ayında başlayıb geniş yayılan antirejim eytirazçılarına martilli komissiya ilə cavab verdi.,25.0,3.09
61,bu oyun sprinqboks komandasının beş oyunluq məğlubiyyət dövrünü sonlandırdı,Bu oyun Springboks komandasının 5 oyunluq məğlubiyyət dövrünü sonlandırdı.,22.22,5.33
62,əllərinizin nəm olması xarici qatlara təsir göstərəcək bu isə əlinizdə qıdıqlanma hissi yarada və bir növ qabıq əmələ gətirə bilər,"Qadınlar əllərinizin nəm olması xarici qatılara təsir göstərəcək, bu isə əlinizdə qıdıqlanma hissi yarada və bir növ qabıq əmələ gətirə bilər.",10.0,7.69
63,qubernatorluq yaralananlardan 19 nəfərin polis işçisi olduğuna dair məlumat verdi,Qubernatorluq yarananlardan 19 nəfərin polis işçisi olduğuna dair məlumat verdi.,10.0,2.47
64,digər nominasiyalara ən yaxşı film rejissor kinematoqrafiya kostyum dizaynı film montajı ən yaxşı film musiqisi bədii rəhbər səs montajı səs miksi və ən yaxşı ssenari aiddir,"Digər nominasiyalara ən yaxşı film, rejissor, kinematografiya, kostüm dizaynı, film montajı, ən yaxşı film musiqisi, bədii rəhbər, səs montajı, səs miksi və ən yaxşı senariya aiddir.",11.54,3.47
65,keçən həftə meti i̇qtisadiyyat ticarət və sənaye nazirliyi apple-dan həddən artıq çox isinmə halı ilə əlaqəli əlavə 34 şikayət gəldiyini və şirkətin bunları qeyri-ciddi hallar olaraq dəyərləndirdiyini bildirib,Geçən həftə Meti İqtisadiyyat Ticarət və Sənayə Nazirliyi Apple-dan həddən artıq çox isimlə halı ilə əlaqəli əlavə 34 şikayət gəldiyini və şirkətin bunları qeyri-ciddi hallar olaraq dəyərlindiyini bildirib.,14.29,3.88
66,abş gimnastika qurumu və abş olimpiya komitəsinin hədəfləri eynidir onlar atletlərin təhlükəsiz pozitiv və etibarlı bir mühitdə öz arzularının ardınca getməsi üçün idmanın gimnastika və digər növlərini mümkün qədər təhlükəsiz etməyə çalışırlar,"ABŞ Gimnastika qurumu və ABŞ Olimpiya komitəsinin hədəfləri eynidir. Onlar addətlərin təhlükəsiz, pozitiv və ehtibalı bir mövcuddə öz arşıların ağzınıza getməsi üçün idmanın gimnastika və digər növlərini mümkün qədər təhlükəsiz etməyə çalışırlar.",15.62,7.41
67,uşaqlar üçün ərazidə ən maraqlı şeylərdən biri piramida səsi və işıqları şousudur,Uşaqlar üçün ərazidə ən maraqlı şeylərdən biri piramida səsi və ışıqları şovusudur.,16.67,2.47
68,lakin quşların hələ də dinozavra bənzəyən çoxlu tərəfləri var,Lakin quşların hələ də dinozavra bənzəyən çoxlu tərəfləri var.,0.0,0.0
69,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,"Elbəttə, bu ənənənin xristiyan dini baxımdan izahı var. Amma bu xristiyanlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbi ilə də keçirilə bilər.",28.57,4.79
70,duval hekayə ilə əlaqəsi olan millerdə böyük bir təəssürat yaratmadı duvel evli idi və iki yetkin uşağı var idi,Duval hekayə ilə əlaqəsi olan millərdə böyük bir təəssürat yaratmadı. Duval evli idi və iki yetkin uşağı var idi.,10.53,1.8
71,onu sinqapur baş nazirinin köməkçisi vonq kan senq qarşıladı daha sonra sinqapurun baş naziri li syan lunq ilə görüşərək iqtisadiyyat və terrorizm haqqındakı problemlərdən danışdı,Onu Singapur başnazın küməkçi Wong Kang-sen qarşıladı. Daha sonra Singapurun başnazırı Li San-yung ilə görüşərək iqtisadiyyat və terorizm haqqındakı problemlərdən danışdı.,52.0,12.85
72,i̇yirminci əsr tədqiqatları göstərdi ki genetik müxtəlifliyin gizli və ifadə edilmiş olmaqla iki bazası var,"20-ci əsr təqiqatları göstərdi ki, genetik müxtərifliyin gizli və ifadə edilmiş olmaqla iki bazası var.",20.0,8.49
73,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,"Maria adlanan qaranlıq qatların altında daha nazik, dağlıq yerlərin altındaysa daha qalın görünür.",14.29,3.09
74,şəhər eyni zamanda afrikadakı dağ qorillasını müşahidə etməyin ən ucuz yollarından biri olan nyiragongo vulkanik dağına dırmanmaq üçün əsas yer hesab olunur,"Şəhər, eyni zamanda Afrikadakı dağ qorillasını müşahidə etməyin, ən ucuz yollarından biri olan Niragongo vulkanik dağına dırmanmaq üçün əsas yer hesab olunur.",4.55,0.64
75,qabıq yaxın tərəfdə təxminən 70 km uzaq tərəfdə isə 100 km qalınlığa malikdir,"Qabıq yaxın tərəfdə təxminən 70 km, uzaq tərəfdə isə 100 km qalınlığa malikdir.",0.0,0.0
76,yol hərəkəti sürücülərin fərdi şəkildə və nəqliyyat vasitələrinin iki nöqtə arasındakı hərəkətlərin və bir-birləri ilə yaratdıqları interaktiv əlaqənin təhlilidir,"Yol hərəkəti, sürücülərin fərdi şəkildə və nəqliyyat vasitələrinin iki nöqtə arasındakı hərəkətlərin və bir-birləri ilə yaraddığı interaktiv əlaqənin təhlilidir.",5.26,3.11
77,bu video oyunlarda oyunçulara cihazı havada hərəkət etdirməklə oyunun gedişatına nəzarət etmək imkanı verir,"Bu, video oyunlarda oyunçuları cihazı havada hərəkət etdirməklə oyunun gedişatına nəzarət etmək imkanı verir.",7.14,0.93
78,bloqqinq şagirdlərdə əməkdaşlıq ruhunu artırır və məktəbdə öyrəndikləri ilə məhdudlaşan biliklərini genişləndirməyə təşviq edir,Blogging şagirdlərdə əməkdaşlıq rolunu artırır və məktəbdə öyrəndikləri ilə məhdudlaşan biliklərini genişləndirməyi təşviq edir.,21.43,4.72
79,laqeyd bədbəxt və ya istismar olunaraq böyüdülmüş və böyüdülərkən yetkinlər tərəfindən sosial həyata atılmamış uşaqların acınacaqlı həyat hekayələrindən bir neçəsinə müraciət etmək sosiallaşmanın əhəmiyyətini ifadə etmək üçün istifadə olunan ən geniş yayılmış üsullardan biridir,"Laqid, bədbəx və irsismar olunaraq böyüdürmüş və böyüdülərkən yetkinlər tərəfindən sosial həyata atılmamış uşaqların acınacaqlı həyat həkələrindən bir neçəsinə müraciət etmək, sosiallaşmaq nəhəmiyyətini ifadə etmək üçün istifadə olunan ən geniş yayılmış üsullardan biridir.",23.53,5.4
